DateTime,Load_kW,Voltage,Temperature
2024-07-03 22:00:00,39.82,229.58,23.88
2024-07-03 23:00:00,45.58,229.76,27.18
2024-07-04 00:00:00,50.89,229.77,29.97
2024-07-04 01:00:00,50.35,228.97,32.8
2024-07-04 02:00:00,55.95,230.62,34.85
2024-07-04 03:00:00,58.61,230.88,38.16
2024-07-04 04:00:00,61.42,229.0,39.89
2024-07-04 05:00:00,65.5,229.56,41.98
2024-07-04 06:00:00,61.48,230.42,41.78
2024-07-04 07:00:00,63.76,228.86,40.78
2024-07-04 08:00:00,65.52,231.3,40.8
2024-07-04 09:00:00,57.26,230.39,38.18
2024-07-04 10:00:00,58.08,230.71,35.4
2024-07-04 11:00:00,55.79,230.04,33.07
2024-07-04 12:00:00,48.98,230.71,31.02
2024-07-04 13:00:00,47.56,230.91,27.45
2024-07-04 14:00:00,42.08,230.88,24.31
2024-07-04 15:00:00,37.88,230.72,20.81
2024-07-04 16:00:00,35.91,229.88,20.42
2024-07-04 17:00:00,38.77,230.37,19.14
2024-07-04 18:00:00,32.41,230.46,18.08
2024-07-04 19:00:00,35.14,230.85,18.16
2024-07-04 20:00:00,33.98,229.65,19.26
2024-07-04 21:00:00,42.02,230.12,22.03
2024-07-04 22:00:00,40.33,230.32,24.29
2024-07-04 23:00:00,46.72,230.1,27.22
2024-07-05 00:00:00,49.91,229.81,29.43
2024-07-05 01:00:00,53.63,231.22,33.38
2024-07-05 02:00:00,53.37,229.12,36.11
2024-07-05 03:00:00,61.54,230.26,38.14
2024-07-05 04:00:00,64.34,228.01,39.94
2024-07-05 05:00:00,66.02,227.91,40.96
2024-07-05 06:00:00,62.09,229.76,41.33
2024-07-05 07:00:00,65.55,228.53,41.1
2024-07-05 08:00:00,62.63,229.0,39.9
2024-07-05 09:00:00,62.06,229.62,37.49
2024-07-05 10:00:00,60.38,231.19,35.74
2024-07-05 11:00:00,53.16,230.57,32.27
2024-07-05 12:00:00,49.66,229.38,29.45
2024-07-05 13:00:00,46.64,230.91,28.13
2024-07-05 14:00:00,38.41,229.28,24.76
2024-07-05 15:00:00,40.96,228.79,21.99
2024-07-05 16:00:00,37.0,229.78,20.39
2024-07-05 17:00:00,30.8,230.88,17.7
2024-07-05 18:00:00,39.35,230.5,18.51
2024-07-05 19:00:00,32.25,230.23,19.0
2024-07-05 20:00:00,35.71,229.06,20.29
2024-07-05 21:00:00,39.27,231.07,21.58
2024-07-05 22:00:00,45.3,229.87,24.8
2024-07-05 23:00:00,44.98,230.91,26.69
2024-07-06 00:00:00,46.83,229.36,30.05
2024-07-06 01:00:00,47.01,229.81,32.56
2024-07-06 02:00:00,54.72,228.76,36.12
2024-07-06 03:00:00,59.61,230.24,38.09
2024-07-06 04:00:00,56.0,229.32,38.84
2024-07-06 05:00:00,63.99,230.13,40.61
2024-07-06 06:00:00,57.78,230.39,40.74
2024-07-06 07:00:00,61.47,229.92,41.19
2024-07-06 08:00:00,56.25,228.95,39.34
2024-07-06 09:00:00,57.6,230.97,37.91
2024-07-06 10:00:00,53.2,230.68,34.99
2024-07-06 11:00:00,50.48,230.08,32.71
2024-07-06 12:00:00,43.69,229.18,29.51
2024-07-06 13:00:00,38.28,229.29,27.01
2024-07-06 14:00:00,36.35,230.08,22.49
2024-07-06 15:00:00,30.81,229.75,21.62
2024-07-06 16:00:00,33.04,231.05,20.04
2024-07-06 17:00:00,29.53,230.21,17.9
2024-07-06 18:00:00,29.22,228.82,17.32
2024-07-06 19:00:00,32.62,229.82,18.79
2024-07-06 20:00:00,31.79,228.7,19.8
2024-07-06 21:00:00,34.76,229.04,21.36
2024-07-06 22:00:00,35.91,230.65,23.36
2024-07-06 23:00:00,42.59,229.52,26.36
2024-07-07 00:00:00,44.29,230.9,28.56
2024-07-07 01:00:00,49.22,229.15,33.16
2024-07-07 02:00:00,52.67,230.34,35.28
2024-07-07 03:00:00,55.12,229.65,36.97
2024-07-07 04:00:00,55.41,229.73,39.86
2024-07-07 05:00:00,58.4,230.59,40.95
2024-07-07 06:00:00,61.16,230.13,40.86
2024-07-07 07:00:00,60.34,230.13,39.85
2024-07-07 08:00:00,59.76,229.21,39.21
2024-07-07 09:00:00,54.49,230.21,37.3
2024-07-07 10:00:00,50.72,229.26,35.4
2024-07-07 11:00:00,53.5,229.51,32.58
2024-07-07 12:00:00,45.82,229.47,29.14
2024-07-07 13:00:00,40.08,229.94,25.3
2024-07-07 14:00:00,36.14,228.87,23.84
2024-07-07 15:00:00,36.53,231.06,21.24
2024-07-07 16:00:00,31.32,229.25,19.99
2024-07-07 17:00:00,30.21,229.62,18.41
2024-07-07 18:00:00,30.68,229.24,18.37
2024-07-07 19:00:00,33.63,229.66,18.05
2024-07-07 20:00:00,33.99,231.67,20.57
2024-07-07 21:00:00,35.79,229.47,21.29
2024-07-07 22:00:00,37.86,230.52,23.49
2024-07-07 23:00:00,39.26,229.55,27.7
2024-07-08 00:00:00,52.16,231.06,30.39
2024-07-08 01:00:00,53.04,230.17,32.65
2024-07-08 02:00:00,57.12,231.47,35.59
2024-07-08 03:00:00,55.81,229.25,37.93
2024-07-08 04:00:00,62.83,229.62,39.41
2024-07-08 05:00:00,63.36,229.66,41.78
2024-07-08 06:00:00,65.5,230.1,42.02
2024-07-08 07:00:00,66.26,229.98,41.14
2024-07-08 08:00:00,60.51,230.69,39.18
2024-07-08 09:00:00,59.41,230.51,38.13
2024-07-08 10:00:00,57.87,230.17,34.95
2024-07-08 11:00:00,57.64,228.8,32.41
2024-07-08 12:00:00,49.81,229.58,29.08
2024-07-08 13:00:00,44.59,230.17,26.52
2024-07-08 14:00:00,41.02,230.43,24.03
2024-07-08 15:00:00,39.34,229.4,21.32
2024-07-08 16:00:00,34.07,230.24,20.39
2024-07-08 17:00:00,38.32,230.13,19.63
2024-07-08 18:00:00,32.58,231.62,17.21
2024-07-08 19:00:00,38.89,230.26,19.74
2024-07-08 20:00:00,37.67,230.39,20.13
2024-07-08 21:00:00,39.33,229.26,22.27
2024-07-08 22:00:00,41.34,231.39,24.28
2024-07-08 23:00:00,47.44,228.85,27.67
2024-07-09 00:00:00,48.39,228.99,30.41
2024-07-09 01:00:00,50.26,229.19,33.28
2024-07-09 02:00:00,60.85,230.53,36.01
2024-07-09 03:00:00,63.82,229.35,39.43
2024-07-09 04:00:00,62.3,231.09,39.33
2024-07-09 05:00:00,62.76,230.12,41.42
2024-07-09 06:00:00,65.26,229.59,41.18
2024-07-09 07:00:00,65.87,228.42,40.94
2024-07-09 08:00:00,58.82,229.47,39.74
2024-07-09 09:00:00,62.34,229.76,38.43
2024-07-09 10:00:00,60.5,230.47,36.11
2024-07-09 11:00:00,56.02,229.54,33.48
2024-07-09 12:00:00,48.7,228.66,28.84
2024-07-09 13:00:00,48.23,228.48,27.31
2024-07-09 14:00:00,45.98,230.15,24.64
2024-07-09 15:00:00,42.06,229.53,22.44
2024-07-09 16:00:00,36.8,228.62,20.53
2024-07-09 17:00:00,34.56,229.69,19.08
2024-07-09 18:00:00,32.18,231.86,17.37
2024-07-09 19:00:00,34.46,230.95,19.33
2024-07-09 20:00:00,35.99,229.13,19.83
2024-07-09 21:00:00,41.99,229.11,22.73
2024-07-09 22:00:00,40.15,231.04,23.99
2024-07-09 23:00:00,46.01,229.48,26.36
2024-07-10 00:00:00,46.15,230.32,30.61
2024-07-10 01:00:00,57.63,229.73,33.65
2024-07-10 02:00:00,55.94,231.44,35.62
2024-07-10 03:00:00,58.19,229.68,37.69
2024-07-10 04:00:00,64.61,229.94,39.73
2024-07-10 05:00:00,66.75,229.59,41.63
2024-07-10 06:00:00,66.14,230.83,41.87
2024-07-10 07:00:00,64.87,230.31,41.33
2024-07-10 08:00:00,63.88,229.81,38.97
2024-07-10 09:00:00,60.75,228.91,39.24
2024-07-10 10:00:00,61.16,230.37,36.31
2024-07-10 11:00:00,52.99,229.18,33.11
2024-07-10 12:00:00,50.66,229.62,29.34
2024-07-10 13:00:00,45.47,229.34,27.1
2024-07-10 14:00:00,41.55,230.61,23.69
2024-07-10 15:00:00,41.87,228.85,21.85
2024-07-10 16:00:00,37.76,229.92,20.1
2024-07-10 17:00:00,36.12,230.23,19.25
2024-07-10 18:00:00,35.43,230.09,18.17
2024-07-10 19:00:00,36.18,229.91,19.03
2024-07-10 20:00:00,35.04,230.53,19.5
2024-07-10 21:00:00,39.35,229.23,22.1
2024-07-10 22:00:00,45.29,230.28,24.66
2024-07-10 23:00:00,44.49,228.86,27.64
2024-07-11 00:00:00,50.41,230.11,31.19
2024-07-11 01:00:00,55.16,229.66,33.77
2024-07-11 02:00:00,56.89,231.96,36.27
2024-07-11 03:00:00,56.8,229.15,37.47
2024-07-11 04:00:00,65.43,229.79,39.12
2024-07-11 05:00:00,62.04,229.95,40.99
2024-07-11 06:00:00,64.54,230.75,41.4
2024-07-11 07:00:00,65.08,229.29,41.96
2024-07-11 08:00:00,63.86,229.63,40.6
2024-07-11 09:00:00,62.26,228.6,37.97
2024-07-11 10:00:00,58.37,229.5,35.79
2024-07-11 11:00:00,54.36,229.81,33.05
2024-07-11 12:00:00,47.77,230.69,30.48
2024-07-11 13:00:00,45.15,228.42,26.69
2024-07-11 14:00:00,40.61,229.88,22.93
2024-07-11 15:00:00,39.5,229.71,22.45
2024-07-11 16:00:00,39.42,230.7,20.18
2024-07-11 17:00:00,37.66,229.86,19.27
2024-07-11 18:00:00,35.81,228.81,19.54
2024-07-11 19:00:00,36.77,229.6,19.03
2024-07-11 20:00:00,38.54,230.27,20.09
2024-07-11 21:00:00,37.34,229.18,22.5
2024-07-11 22:00:00,43.31,230.86,25.11
2024-07-11 23:00:00,43.56,230.3,27.4
2024-07-12 00:00:00,48.38,230.21,29.54
2024-07-12 01:00:00,55.06,229.48,33.93
2024-07-12 02:00:00,58.42,230.19,36.17
2024-07-12 03:00:00,60.27,229.69,38.26
2024-07-12 04:00:00,61.1,229.93,39.03
2024-07-12 05:00:00,64.04,231.38,40.92
2024-07-12 06:00:00,67.28,230.2,42.41
2024-07-12 07:00:00,64.86,229.66,41.21
2024-07-12 08:00:00,62.68,230.93,39.7
2024-07-12 09:00:00,59.01,229.74,38.13
2024-07-12 10:00:00,58.07,230.7,35.31
2024-07-12 11:00:00,53.6,229.3,32.51
2024-07-12 12:00:00,49.41,229.46,29.65
2024-07-12 13:00:00,48.08,229.91,27.25
2024-07-12 14:00:00,43.53,230.43,23.8
2024-07-12 15:00:00,42.31,229.15,21.71
2024-07-12 16:00:00,34.33,230.38,20.26
2024-07-12 17:00:00,33.79,229.9,18.72
2024-07-12 18:00:00,36.3,229.92,17.91
2024-07-12 19:00:00,34.19,230.91,18.58
2024-07-12 20:00:00,39.35,230.39,21.84
2024-07-12 21:00:00,38.57,231.6,21.79
2024-07-12 22:00:00,42.89,229.11,23.78
2024-07-12 23:00:00,44.32,228.66,27.63
2024-07-13 00:00:00,39.4,230.9,29.62
2024-07-13 01:00:00,48.42,229.89,32.22
2024-07-13 02:00:00,51.63,230.14,35.2
2024-07-13 03:00:00,55.98,229.61,37.65
2024-07-13 04:00:00,57.05,230.28,39.63
2024-07-13 05:00:00,57.11,229.77,40.59
2024-07-13 06:00:00,60.65,230.64,40.67
2024-07-13 07:00:00,57.85,230.63,41.05
2024-07-13 08:00:00,55.93,229.73,39.18
2024-07-13 09:00:00,56.7,229.45,38.17
2024-07-13 10:00:00,50.37,231.32,34.63
2024-07-13 11:00:00,52.64,230.02,33.44
2024-07-13 12:00:00,41.11,229.43,28.57
2024-07-13 13:00:00,41.65,230.19,27.2
2024-07-13 14:00:00,39.81,229.02,23.38
2024-07-13 15:00:00,35.93,230.61,21.88
2024-07-13 16:00:00,34.96,229.58,19.83
2024-07-13 17:00:00,30.73,230.5,18.79
2024-07-13 18:00:00,31.64,229.77,18.37
2024-07-13 19:00:00,30.92,229.12,18.75
2024-07-13 20:00:00,32.84,230.07,20.65
2024-07-13 21:00:00,31.94,230.0,21.22
2024-07-13 22:00:00,35.74,230.81,22.91
2024-07-13 23:00:00,41.36,229.53,26.51
2024-07-14 00:00:00,44.83,230.18,30.08
2024-07-14 01:00:00,47.33,230.97,32.96
2024-07-14 02:00:00,54.33,229.78,35.62
2024-07-14 03:00:00,55.28,229.76,37.88
2024-07-14 04:00:00,57.6,229.84,39.99
2024-07-14 05:00:00,59.67,229.56,40.78
2024-07-14 06:00:00,54.71,229.43,40.99
2024-07-14 07:00:00,56.8,231.08,40.01
2024-07-14 08:00:00,59.48,230.25,40.35
2024-07-14 09:00:00,56.8,230.36,37.09
2024-07-14 10:00:00,51.97,229.34,35.82
2024-07-14 11:00:00,47.97,230.93,32.06
2024-07-14 12:00:00,46.75,231.5,29.56
2024-07-14 13:00:00,40.57,229.93,25.69
2024-07-14 14:00:00,37.36,230.74,23.31
2024-07-14 15:00:00,37.73,229.75,21.89
2024-07-14 16:00:00,32.21,231.12,19.17
2024-07-14 17:00:00,32.03,229.83,20.03
2024-07-14 18:00:00,28.86,230.09,18.18
2024-07-14 19:00:00,26.69,230.76,17.8
2024-07-14 20:00:00,31.87,229.75,19.15
2024-07-14 21:00:00,36.6,229.59,22.55
2024-07-14 22:00:00,40.62,230.63,24.65
2024-07-14 23:00:00,38.78,231.13,26.44
2024-07-15 00:00:00,48.84,230.32,30.3
2024-07-15 01:00:00,54.48,229.89,32.4
2024-07-15 02:00:00,57.72,230.02,36.13
2024-07-15 03:00:00,54.56,229.71,38.42
2024-07-15 04:00:00,64.68,230.51,39.97
2024-07-15 05:00:00,65.76,228.46,41.31
2024-07-15 06:00:00,63.53,230.31,41.69
2024-07-15 07:00:00,64.35,230.22,41.59
2024-07-15 08:00:00,59.59,229.99,39.28
2024-07-15 09:00:00,61.94,231.74,37.76
2024-07-15 10:00:00,56.78,230.49,36.03
2024-07-15 11:00:00,54.34,230.75,32.34
2024-07-15 12:00:00,48.04,229.11,30.05
2024-07-15 13:00:00,43.33,230.4,26.25
2024-07-15 14:00:00,44.64,230.8,24.7
2024-07-15 15:00:00,37.56,228.95,21.25
2024-07-15 16:00:00,41.31,230.56,20.43
2024-07-15 17:00:00,34.12,230.3,18.26
2024-07-15 18:00:00,35.35,230.65,18.49
2024-07-15 19:00:00,35.8,229.75,20.22
2024-07-15 20:00:00,39.08,230.93,20.32
2024-07-15 21:00:00,37.03,229.93,21.28
2024-07-15 22:00:00,43.86,230.05,24.26
2024-07-15 23:00:00,45.69,230.86,27.05
2024-07-16 00:00:00,49.86,229.84,30.16
2024-07-16 01:00:00,56.99,230.35,32.96
2024-07-16 02:00:00,56.35,230.1,35.91
2024-07-16 03:00:00,60.12,230.05,39.6
2024-07-16 04:00:00,66.41,230.05,39.84
2024-07-16 05:00:00,64.14,230.19,41.39
2024-07-16 06:00:00,62.84,230.18,41.77
2024-07-16 07:00:00,64.47,229.95,41.22
2024-07-16 08:00:00,64.94,231.38,40.17
2024-07-16 09:00:00,60.12,230.89,38.62
2024-07-16 10:00:00,56.92,230.49,36.15
2024-07-16 11:00:00,54.18,230.37,33.0
2024-07-16 12:00:00,50.36,230.96,29.26
2024-07-16 13:00:00,46.5,228.78,26.53
2024-07-16 14:00:00,45.3,230.07,24.71
2024-07-16 15:00:00,38.08,228.74,21.1
2024-07-16 16:00:00,37.13,229.3,19.95
2024-07-16 17:00:00,36.98,230.2,19.16
2024-07-16 18:00:00,36.93,230.63,19.09
2024-07-16 19:00:00,37.27,229.79,19.4
2024-07-16 20:00:00,36.57,229.05,19.84
2024-07-16 21:00:00,37.09,228.64,22.05
2024-07-16 22:00:00,40.04,230.26,23.92
2024-07-16 23:00:00,47.27,230.99,27.36
2024-07-17 00:00:00,48.98,229.04,30.03
2024-07-17 01:00:00,54.25,230.13,32.86
2024-07-17 02:00:00,58.65,228.75,35.53
2024-07-17 03:00:00,64.24,230.51,38.61
2024-07-17 04:00:00,62.89,231.01,40.23
2024-07-17 05:00:00,65.28,229.99,40.58
2024-07-17 06:00:00,66.06,229.58,42.03
2024-07-17 07:00:00,64.47,229.45,40.44
2024-07-17 08:00:00,62.41,229.3,40.72
2024-07-17 09:00:00,63.19,230.13,38.47
2024-07-17 10:00:00,57.07,229.67,35.3
2024-07-17 11:00:00,52.63,229.47,32.5
2024-07-17 12:00:00,47.98,230.45,29.11
2024-07-17 13:00:00,47.65,231.03,26.94
2024-07-17 14:00:00,43.8,229.35,23.6
2024-07-17 15:00:00,42.18,231.06,22.61
2024-07-17 16:00:00,36.52,228.48,19.43
2024-07-17 17:00:00,35.92,228.86,19.43
2024-07-17 18:00:00,35.49,231.23,17.86
2024-07-17 19:00:00,36.95,230.4,19.36
2024-07-17 20:00:00,38.95,231.27,19.78
2024-07-17 21:00:00,42.91,229.21,21.88
2024-07-17 22:00:00,45.3,229.86,24.82
2024-07-17 23:00:00,45.72,231.4,27.48
2024-07-18 00:00:00,49.63,229.48,30.13
2024-07-18 01:00:00,55.67,229.49,34.23
2024-07-18 02:00:00,56.34,230.06,35.63
2024-07-18 03:00:00,60.33,230.87,37.64
2024-07-18 04:00:00,60.26,231.12,38.71
2024-07-18 05:00:00,64.32,230.75,40.41
2024-07-18 06:00:00,67.79,229.36,41.5
2024-07-18 07:00:00,62.73,229.67,40.91
2024-07-18 08:00:00,61.94,229.45,39.59
2024-07-18 09:00:00,61.0,230.33,38.18
2024-07-18 10:00:00,60.4,230.84,35.95
2024-07-18 11:00:00,54.45,227.56,33.09
2024-07-18 12:00:00,48.59,229.28,29.52
2024-07-18 13:00:00,41.6,229.53,26.57
2024-07-18 14:00:00,42.09,229.6,24.56
2024-07-18 15:00:00,42.21,230.7,21.96
2024-07-18 16:00:00,37.21,229.87,19.78
2024-07-18 17:00:00,35.16,229.16,18.84
2024-07-18 18:00:00,35.79,230.77,18.18
2024-07-18 19:00:00,37.25,230.78,19.67
2024-07-18 20:00:00,35.23,231.76,19.55
2024-07-18 21:00:00,39.87,230.28,21.25
2024-07-18 22:00:00,45.35,229.94,25.22
2024-07-18 23:00:00,48.19,230.24,26.96
2024-07-19 00:00:00,52.44,229.68,30.38
2024-07-19 01:00:00,56.55,230.14,33.17
2024-07-19 02:00:00,60.82,230.55,37.09
2024-07-19 03:00:00,59.0,230.16,37.27
2024-07-19 04:00:00,64.74,228.72,40.12
2024-07-19 05:00:00,62.92,229.71,41.57
2024-07-19 06:00:00,65.91,230.08,41.84
2024-07-19 07:00:00,64.67,229.31,40.35
2024-07-19 08:00:00,62.26,230.89,39.63
2024-07-19 09:00:00,62.92,230.58,38.26
2024-07-19 10:00:00,58.74,229.08,35.94
2024-07-19 11:00:00,54.32,228.94,32.52
2024-07-19 12:00:00,48.54,228.21,30.2
2024-07-19 13:00:00,44.17,229.15,27.95
2024-07-19 14:00:00,44.04,229.89,24.09
2024-07-19 15:00:00,40.62,229.64,21.23
2024-07-19 16:00:00,36.34,230.58,20.36
2024-07-19 17:00:00,35.25,230.67,19.44
2024-07-19 18:00:00,33.3,230.52,18.99
2024-07-19 19:00:00,33.94,229.02,19.07
2024-07-19 20:00:00,37.99,230.53,19.42
2024-07-19 21:00:00,40.06,230.72,22.18
2024-07-19 22:00:00,38.22,230.91,23.94
2024-07-19 23:00:00,49.31,229.1,28.62
2024-07-20 00:00:00,46.66,229.72,31.17
2024-07-20 01:00:00,46.11,229.11,32.63
2024-07-20 02:00:00,55.91,229.49,36.13
2024-07-20 03:00:00,55.07,230.02,37.49
2024-07-20 04:00:00,60.68,230.16,39.76
2024-07-20 05:00:00,63.3,229.06,40.66
2024-07-20 06:00:00,58.29,229.77,41.09
2024-07-20 07:00:00,61.4,230.78,40.47
2024-07-20 08:00:00,56.98,229.92,39.81
2024-07-20 09:00:00,55.76,229.41,38.13
2024-07-20 10:00:00,52.58,230.18,34.34
2024-07-20 11:00:00,50.4,229.87,32.04
2024-07-20 12:00:00,45.67,230.38,29.03
2024-07-20 13:00:00,40.97,229.68,25.36
2024-07-20 14:00:00,39.92,230.67,23.59
2024-07-20 15:00:00,33.02,230.45,20.35
2024-07-20 16:00:00,29.56,229.12,18.82
2024-07-20 17:00:00,32.94,228.99,19.08
2024-07-20 18:00:00,32.69,228.92,18.28
2024-07-20 19:00:00,27.48,229.06,19.05
2024-07-20 20:00:00,33.65,229.63,20.29
2024-07-20 21:00:00,38.48,228.76,22.35
2024-07-20 22:00:00,34.61,230.45,23.03
2024-07-20 23:00:00,41.95,229.38,26.87
2024-07-21 00:00:00,42.45,230.02,28.61
2024-07-21 01:00:00,49.77,229.75,32.39
2024-07-21 02:00:00,54.65,230.93,35.69
2024-07-21 03:00:00,57.77,230.29,38.77
2024-07-21 04:00:00,59.53,229.95,39.51
2024-07-21 05:00:00,60.18,229.53,40.65
2024-07-21 06:00:00,60.56,229.01,41.73
2024-07-21 07:00:00,58.36,230.98,40.37
2024-07-21 08:00:00,61.44,229.73,39.37
2024-07-21 09:00:00,57.47,230.1,37.93
2024-07-21 10:00:00,51.2,230.09,35.77
2024-07-21 11:00:00,47.27,230.49,31.97
2024-07-21 12:00:00,47.18,230.32,29.62
2024-07-21 13:00:00,41.65,229.32,26.86
2024-07-21 14:00:00,32.45,230.05,22.94
2024-07-21 15:00:00,33.31,230.47,21.22
2024-07-21 16:00:00,32.48,230.63,18.88
2024-07-21 17:00:00,32.11,230.16,18.17
2024-07-21 18:00:00,28.04,229.63,18.5
2024-07-21 19:00:00,30.26,231.51,17.51
2024-07-21 20:00:00,29.62,230.62,19.82
2024-07-21 21:00:00,31.52,229.09,21.66
2024-07-21 22:00:00,37.06,230.51,24.66
2024-07-21 23:00:00,39.35,230.09,26.41
2024-07-22 00:00:00,53.34,229.32,30.12
2024-07-22 01:00:00,54.05,229.56,32.88
2024-07-22 02:00:00,55.27,230.42,36.01
2024-07-22 03:00:00,58.9,229.97,37.94
2024-07-22 04:00:00,63.76,229.15,39.9
2024-07-22 05:00:00,62.34,230.47,40.9
2024-07-22 06:00:00,62.14,230.86,41.08
2024-07-22 07:00:00,63.22,230.35,41.18
2024-07-22 08:00:00,60.0,230.67,38.98
2024-07-22 09:00:00,59.44,229.08,38.09
2024-07-22 10:00:00,58.13,229.93,35.63
2024-07-22 11:00:00,55.48,230.04,31.92
2024-07-22 12:00:00,50.73,230.4,30.23
2024-07-22 13:00:00,47.86,230.66,27.29
2024-07-22 14:00:00,43.44,231.16,23.98
2024-07-22 15:00:00,42.54,231.3,22.89
2024-07-22 16:00:00,37.33,230.72,19.77
2024-07-22 17:00:00,35.82,231.16,18.96
2024-07-22 18:00:00,35.02,229.89,18.48
2024-07-22 19:00:00,37.48,229.98,19.35
2024-07-22 20:00:00,35.9,230.35,20.92
2024-07-22 21:00:00,40.6,229.02,22.24
2024-07-22 22:00:00,44.3,231.05,24.74
2024-07-22 23:00:00,46.45,230.41,27.3
2024-07-23 00:00:00,52.59,230.45,30.31
2024-07-23 01:00:00,52.85,229.38,32.72
2024-07-23 02:00:00,56.18,229.33,36.21
2024-07-23 03:00:00,64.24,229.46,39.0
2024-07-23 04:00:00,64.74,228.95,38.67
2024-07-23 05:00:00,63.7,230.15,41.3
2024-07-23 06:00:00,67.55,230.36,42.27
2024-07-23 07:00:00,66.29,230.9,41.41
2024-07-23 08:00:00,63.01,229.23,40.44
2024-07-23 09:00:00,60.14,231.05,37.86
2024-07-23 10:00:00,57.86,228.74,35.05
2024-07-23 11:00:00,53.57,229.56,33.22
2024-07-23 12:00:00,47.44,230.44,29.09
2024-07-23 13:00:00,45.63,230.16,27.13
2024-07-23 14:00:00,42.53,230.55,23.74
2024-07-23 15:00:00,39.06,229.01,21.69
2024-07-23 16:00:00,34.17,229.52,19.65
2024-07-23 17:00:00,36.26,229.75,18.29
2024-07-23 18:00:00,36.28,230.67,17.79
2024-07-23 19:00:00,38.56,230.42,19.44
2024-07-23 20:00:00,39.92,231.0,20.31
2024-07-23 21:00:00,40.12,229.89,21.39
2024-07-23 22:00:00,41.37,230.23,24.05
2024-07-23 23:00:00,49.52,230.2,27.96
2024-07-24 00:00:00,49.09,228.41,30.34
2024-07-24 01:00:00,52.24,230.1,33.81
2024-07-24 02:00:00,58.31,230.04,36.64
2024-07-24 03:00:00,60.2,229.04,38.87
2024-07-24 04:00:00,61.85,229.62,39.36
2024-07-24 05:00:00,66.89,229.33,40.45
